ID,Type,Name,Price,Quantity,InputPrice,Brand,SuitAge,Material,Author,ISBN,PublicationYear,Publisher
2,toy,Lego Set,59.99,10,40.0,LEGO,5+,Plastic,,,,
3,stationery,Notebook,3.5,40,2.0,BrandA,,Paper,,,,
4,toy,Action Figure,15.0,11,10.0,BrandB,6+,Plastic,,,,
5,book,Java Concurrency in Practice,35.0,13,25.0,,,,"Brian Goetz",978-0321349606,2006,Addison-Wesley
6,stationery,Pencil,0.99,98,0.5,BrandC,,Wood,,,,
7,book,Clean Code,40.0,8,28.0,,,,"Robert C. Martin",978-0136083238,2009,Prentice Hall
8,toy,Barbie Doll,25.0,12,15.0,Mattel,3+,Plastic,,,,
9,stationery,Marker Set,8.0,27,5.0,BrandD,,Plastic,,,,
10,toy,Remote Control Car,45.0,7,30.0,BrandE,8+,Plastic,,,,
11,book,The Pragmatic Programmer,50.0,6,38.0,,,,"Andrew Hunt",978-0135957059,2019,Addison-Wesley
12,stationery,Eraser,0.5,200,0.2,BrandF,,Rubber,,,,
13,toy,Teddy Bear,20.0,15,12.0,BrandG,3+,Fabric,,,,
14,book,Design Patterns,55.0,4,42.0,,,,"Erich Gamma",978-0201633610,1994,Addison-Wesley
15,stationery,Highlighter,2.5,100,1.0,BrandH,,Plastic,,,,
16,book,Refactoring,38.0,12,30.0,,,,"Martin Fowler",978-0134757599,2018,Addison-Wesley
17,toy,Hot Wheels Car,12.0,40,8.0,Mattel,4+,Metal,,,,
18,stationery,Sketchbook,10.0,25,6.0,BrandI,,Paper,,,,
19,book,Designing Data-Intensive Applications,60.0,5,50.0,,,,"Martin Kleppmann",978-1491903060,2017,O'Reilly Media
20,toy,Transformer Action Figure,30.0,6,20.0,Hasbro,8+,Plastic,,,,
21,stationery,Ruler,1.5,150,0.5,BrandJ,,Plastic,,,,
22,book,The Clean Coder,45.0,9,35.0,,,,"Robert C. Martin",978-0136083238,2010,Prentice Hall
23,toy,Dinosaur Figurine,18.0,25,15.0,BrandK,6+,Plastic,,,,
24,stationery,Colored Pencils,5.0,75,3.0,BrandL,,Wood,,,,
25,book,Introduction to Algorithms,85.0,3,70.0,,,,"Thomas H. Cormen",978-0262033848,2009,MIT Press
26,toy,Play-Doh Set,20.0,15,12.0,Hasbro,3+,Plastic,,,,
27,stationery,Stapler,8.0,40,5.0,BrandM,,Plastic,,,,
29,toy,Building Blocks,22.0,30,15.0,BrandN,4+,Wood,,,,
30,stationery,Post-It Notes,4.0,100,2.0,BrandO,,Paper,,,,
31,book,Algorithms Unlocked,35.0,12,25.0,,,,"Thomas H. Cormen",978-0132290689,2013,Prentice Hall
32,toy,Race Car Track,50.0,8,35.0,BrandP,5+,Plastic,,,,
33,stationery,Drawing Pad,7.0,50,4.0,BrandQ,,Paper,,,,
34,book,Python Crash Course,40.0,10,30.0,,,,"Eric Matthes",978-1593279288,2019,No Starch Press
35,toy,Action Figure Set,55.0,6,40.0,BrandR,7+,Plastic,,,,
36,stationery,Glue Stick,3.0,200,1.5,BrandS,,Plastic,,,,
37,book,The Pragmatic Programmer,50.0,5,40.0,,,,"Andrew Hunt",978-0135957059,2019,Addison-Wesley
38,toy,Stuffed Animal,25.0,12,15.0,BrandT,3+,Fabric,,,,
39,stationery,Index Cards,4.5,100,2.5,BrandU,,Paper,,,,
40,book,Learn JavaScript,45.0,7,35.0,,,,"John Doe",978-0134677442,2019,Addison-Wesley
41,toy,Play Kitchen Set,70.0,8,55.0,BrandV,3+,Plastic,,,,
42,stationery,Art Supplies Set,25.0,15,18.0,BrandW,,Plastic,,,,
43,book,Java: The Complete Reference,60.0,5,50.0,,,,"Herbert Schildt",978-0134686097,2019,Oracle Press
44,toy,Doll House,80.0,4,70.0,BrandX,5+,Wood,,,,
45,stationery,File Folders,12.0,50,8.0,BrandY,,Plastic,,,,
46,book,Head First Java,50.0,6,40.0,,,,"Kathy Sierra",978-0596009205,2005,Addison-Wesley
47,toy,Remote Control Helicopter,90.0,2,80.0,BrandZ,10+,Plastic,,,,
48,stationery,Whiteboard Markers,10.0,30,6.0,BrandAA,,Plastic,,,,
49,book,You Don't Know JS,35.0,10,25.0,,,,"Kyle Simpson",978-1491950294,2018,O'Reilly Media
50,toy,Wooden Train Set,40.0,12,30.0,BrandAB,3+,Wood,,,,
